"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","batches","cnn_architecture","device","dp","emb_projection","emb_training","final_metric","gamma","gradient_clip","hidden_size","lr","lr_scheduler","model","n_kernel","num_of_params","optimizer","pad_idx","proj_size","random_emb","scheduler","seq_len","use_normalization","vocab_size","_VALID_DICT_FIELDS","_dict_dtype_to_str","_dict_torch_dtype_to_str","_n_gpu","_no_sync_in_gradient_accumulation","_setup_devices","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_configured_state","accelerator_config.use_seedable_sampler","adafactor","adam_beta1","adam_beta2","adam_epsilon","auto_find_batch_size","average_tokens_across_devices","batch_eval_metrics","bf16","bf16_full_eval","data_dir","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","dataloader_prefetch_factor","ddp_timeout","ddp_timeout_delta","debug","default_optim","disable_tqdm","distributed_state","do_eval","do_predict","do_train","dropout_probs","embedding_dimension","eval_batch_size","eval_dataset_batches","eval_delay","eval_do_concat_batches","eval_on_start","eval_steps","eval_strategy","eval_use_gather_object","fp16","fp16_backend","fp16_full_eval","fp16_opt_level","framework","freeze_embedding_layer","freeze_first_x_layers","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","fsdp_min_num_params","full_determinism","get_process_log_level","get_warmup_steps","gradient_accumulation_steps","gradient_checkpointing","group_by_length","half_precision_backend","hub_always_push","hub_private_repo","hub_strategy","ignore_data_skip","include_for_metrics","include_inputs_for_metrics","include_num_input_tokens_seen","include_tokens_per_second","is_torch_greater_or_equal_than_2_8","jit_mode_eval","l2_alpha","label_smoothing_factor","labels","learning_rate","length_column_name","load_best_model_at_end","local_process_index","local_rank","log_level","log_level_replica","log_on_each_node","logging_dir","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","lstm_hidden_dimension","main_process_first","max_grad_norm","max_seq_length","max_steps","model_type","mp_parameters","n_gpu","no_bias","no_cuda","num_lstm_layers","num_train_epochs","optim","output_dir","overwrite_cache","overwrite_output_dir","parallel_mode","past_index","per_device_eval_batch_size","per_device_train_batch_size","place_model_on_device","prediction_loss_only","process_index","project","push_to_hub","random_init","ray_scope","remove_unused_columns","report_to","restore_callback_states_from_checkpoint","run_name","save_on_each_node","save_only_model","save_safetensors","save_steps","save_strategy","seed","set_dataloader","set_evaluate","set_logging","set_lr_scheduler","set_optimizer","set_push_to_hub","set_save","set_testing","set_training","should_log","should_save","skip_memory_metrics","task","to_dict","to_json_string","to_sanitized_dict","torch_compile","tpu_metrics_debug","trackio_space_id","train_batch_size","use_cpu","use_ipex","use_legacy_prediction_loop","use_liger_kernel","use_mps_device","warmup_ratio","warmup_steps","weight_decay","world_size","final_test_acc","final_test_loss","norm","test_acc","test_loss","train_acc","train_loss","epoch","eval_f1.max","eval_loss.min","eval_precision.max","eval_recall.max","test_f1","test_precision","test_recall","training_f1.max","training_loss.min","training_precision.max","training_recall.max"
"amber-lion-4898","finished","-","","best, cv03","2025-10-28T14:08:35.000Z","500","","relu","64","5000","B","cuda:0","","true","true","","","0.5","970","0.0001","","cnn","64","15561815","","","100","false","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7152727788144891","0.8238410657936043","2.024304151535034","0.7344573708359833","0.8068280936679024","0.8909090757369995","0.6694413423538208","","","","","","","","","","","",""
"effortless-yogurt-4897","finished","-","","best, cv03","2025-10-28T14:06:10.000Z","346","","relu","128","5000","C","cuda:0","","true","true","","","0.5","35020","0.0001","","cnn","64","12952415","","","100","false","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7199861283103625","0.822134485675229","2.118048906326294","0.7321967209956443","0.8098179984462354","0.8319328427314758","0.717990517616272","","","","","","","","","","","",""
"twilight-cosmos-4896","finished","-","","best, cv03","2025-10-28T14:06:06.000Z","166","","relu","64","5000","A","cuda:0","","true","true","","","0.5","","0.001","","mean","64","6031003","","","100","true","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7334665947860771","0.8077468438581987","0.16362129151821136","0.7382974299939226","0.8053214828327936","0.8545454144477844","0.704770565032959","","","","","","","","","","","",""
"bright-wind-4894","finished","-","","best, cv03","2025-10-28T14:03:41.000Z","488","","relu","64","5000","B","cuda:0","","true","true","","","0.5","970","0.0001","","cnn","64","15561815","","","100","false","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.728958847639444","0.8128827476834918","2.330425977706909","0.7376992593479528","0.8026856877460554","0.8545454144477844","0.7247509360313416","","","","","","","","","","","",""
"fresh-deluge-4893","finished","-","","best, cv03","2025-10-28T14:01:15.000Z","324","","relu","128","5000","C","cuda:0","","true","true","","","0.5","35020","0.0001","","cnn","64","12952415","","","100","false","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7190627555052439","0.8219069780574905","1.4538793563842771","0.7369010217430055","0.8051350638847943","0.890756368637085","0.6848002672195435","","","","","","","","","","","",""
"cosmic-shadow-4892","finished","-","","best, cv03","2025-10-28T14:01:12.000Z","486","","relu","64","5000","B","cuda:0","","true","true","","","0.5","970","0.0001","","cnn","64","15561815","","","100","false","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7298351159462562","0.8106570431402513","1.431137204170227","0.7410235186959055","0.8022462732597084","0.8909090757369995","0.6727064251899719","","","","","","","","","","","",""
"honest-snowflake-4890","finished","-","","best, cv03","2025-10-28T14:01:10.000Z","166","","relu","64","5000","A","cuda:0","","true","true","","","0.5","","0.001","","mean","64","6031003","","","100","true","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7239090566868549","0.8183850941958127","3.773355722427368","0.7489958579438206","0.7943226933943158","0.7636363506317139","0.7832632064819336","","","","","","","","","","","",""
"robust-aardvark-4889","finished","-","","best, cv03","2025-10-28T13:58:41.000Z","6213","","gelu","32","100000","A","cuda:0","","true","true","","","0.5","500","0.0001","","cnn","64","18329899","","","128","true","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7117857472463087","0.8340579508901476","0.04882839322090149","0.711470492966908","0.8343361141848656","0.91304349899292","0.6385985016822815","","","","","","","","","","","",""
"visionary-dawn-4888","finished","-","","best, cv03","2025-10-28T13:58:18.000Z","5973","","gelu","32","100000","A","cuda:0","","true","true","","","0.5","500","0.0001","","cnn","64","18329899","","","128","true","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7086515457896919","0.8365993337197737","2.094496726989746","0.7130066472964528","0.8323112758681004","0.8260869979858398","0.7260007262229919","","","","","","","","","","","",""
"driven-frost-4887","finished","-","","best, cv03","2025-10-28T13:56:12.000Z","500","","relu","64","5000","B","cuda:0","","true","true","","","0.5","970","0.0001","","cnn","64","15561815","","","100","false","","100","","20000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7366353010797834","0.8061655743138774","0.9167677760124208","0.7412765155970354","0.8021737898370171","0.7454545497894287","0.7968745827674866","","","","","","","","","","","",""
